Rank,DisplayName,Vehicle,Time,DifferenceToFirst,Platform,
1,Skoukerman,Ford Puma Rally1 HYBRID (2023),00:51:49.6370000,00:00:00,STEAM,
2,RG-Karafoulidis,Toyota GR Yaris Rally1 HYBRID (2023),00:52:03.5190000,00:00:13.8820000,STEAM,
3,TeoVoudouris,Ford Puma Rally1 HYBRID (2023),00:52:28.7090000,00:00:39.0720000,STEAM,
4,RG-Neilaras,Toyota GR Yaris Rally1 HYBRID (2023),00:52:53.2270000,00:01:03.5900000,STEAM,
5,nikos_dri,Toyota GR Yaris Rally1 HYBRID (2023),00:53:23.3220000,00:01:33.6850000,PSN,
6,iliassiopis,Ford Puma Rally1 HYBRID (2023),00:53:24.8860000,00:01:35.2490000,STEAM,
7,loukasg6r,Toyota GR Yaris Rally1 HYBRID (2023),00:53:43.2220000,00:01:53.5850000,PSN,
8,Mixelakis_97_WRC,Hyundai i20 N Rally1 HYBRID (2023),00:53:50.1620000,00:02:00.5250000,XBOX,
9,cubanosgr,Ford Puma Rally1 HYBRID (2023),00:53:57.8760000,00:02:08.2390000,EA,
10,sgoran,Hyundai i20 N Rally1 HYBRID (2023),00:53:59.2680000,00:02:09.6310000,STEAM,
11,gronholmmk2,Toyota GR Yaris Rally1 HYBRID (2023),00:54:45.9890000,00:02:56.3520000,STEAM,
12,Vasi_nano_racing,Toyota GR Yaris Rally1 HYBRID (2023),00:54:53.9520000,00:03:04.3150000,PSN,
13,Kotzampasis_G,Toyota GR Yaris Rally1 HYBRID (2023),00:55:09.5240000,00:03:19.8870000,STEAM,
14,kokomanos,Ford Puma Rally1 HYBRID (2023),00:55:11.4070000,00:03:21.7700000,STEAM,
15,mmarakas,Ford Puma Rally1 HYBRID (2023),00:55:14.1390000,00:03:24.5020000,STEAM,
16,billymos,Ford Puma Rally1 HYBRID (2023),00:56:09.3120000,00:04:19.6750000,STEAM,
17,GeorgeNempis,Hyundai i20 N Rally1 HYBRID (2023),00:56:10.0050000,00:04:20.3680000,STEAM,
18,troffeo,Toyota GR Yaris Rally1 HYBRID (2023),00:56:23.4740000,00:04:33.8370000,STEAM,
19,PAPIAS44,Hyundai i20 N Rally1 HYBRID (2023),00:56:33.9400000,00:04:44.3030000,EA,
20,spyrosb16a2,Hyundai i20 N Rally1 HYBRID (2023),00:56:36.9790000,00:04:47.3420000,PSN,
21,CntG3tEnough,Hyundai i20 N Rally1 HYBRID (2023),00:56:58.2230000,00:05:08.5860000,STEAM,
22,XalkiasRacing,Toyota GR Yaris Rally1 HYBRID (2023),00:56:58.8520000,00:05:09.2150000,STEAM,
23,AndreasEvoIX,Hyundai i20 N Rally1 HYBRID (2023),00:57:37.9940000,00:05:48.3570000,STEAM,
24,BaLouLdieZ,Ford Puma Rally1 HYBRID (2023),00:57:48.8830000,00:05:59.2460000,PSN,
25,Chris_Karaolis,Toyota GR Yaris Rally1 HYBRID (2023),00:57:49.0200000,00:05:59.3830000,STEAM,
26,DmsRacing,Toyota GR Yaris Rally1 HYBRID (2023),00:58:02.0530000,00:06:12.4160000,STEAM,
27,TNG-Loucas-Sti,Toyota GR Yaris Rally1 HYBRID (2023),00:58:50.7860000,00:07:01.1490000,PSN,
28,Undertakerf,Toyota GR Yaris Rally1 HYBRID (2023),00:59:44.8990000,00:07:55.2620000,STEAM,
29,BILL96GR,Toyota GR Yaris Rally1 HYBRID (2023),00:59:47.8000000,00:07:58.1630000,STEAM,
30,torctenSt,Ford Puma Rally1 HYBRID (2023),00:59:48.2160000,00:07:58.5790000,XBOX,
31,georgessj,Hyundai i20 N Rally1 HYBRID (2023),00:59:53.8890000,00:08:04.2520000,PSN,
32,K_Karathanassis,Hyundai i20 N Rally1 HYBRID (2023),01:01:04.8490000,00:09:15.2120000,STEAM,
33,sidisp,Ford Puma Rally1 HYBRID (2023),01:01:55.5000000,00:10:05.8630000,STEAM,
34,RallyAndSim2,Hyundai i20 N Rally1 HYBRID (2023),01:11:12.1850000,00:19:22.5480000,STEAM,
35,Tsams333,Toyota GR Yaris Rally1 HYBRID (2023),01:13:00.2860000,00:21:10.6490000,STEAM,
36,chriskouva,Hyundai i20 N Rally1 HYBRID (2023),01:14:01.3670000,00:22:11.7300000,PSN,
37,Johny969,Hyundai i20 N Rally1 HYBRID (2023),01:14:24.6980000,00:22:35.0610000,STEAM,
38,UnlimitedTorque2,Toyota GR Yaris Rally1 HYBRID (2023),01:14:26.5890000,00:22:36.9520000,STEAM,
39,hardstriker13,Ford Puma Rally1 HYBRID (2023),01:22:33.0930000,00:30:43.4560000,XBOX,
40,AggelosMagoulis,Ford Puma Rally1 HYBRID (2023),01:22:52.1390000,00:31:02.5020000,STEAM,
41,AntonisCh93,Toyota GR Yaris Rally1 HYBRID (2023),01:23:33.1140000,00:31:43.4770000,XBOX,
42,DimitrisStk,Ford Puma Rally1 HYBRID (2023),01:25:03.9600000,00:33:14.3230000,XBOX,
43,Loucas955,Hyundai i20 N Rally1 HYBRID (2023),01:27:52.5490000,00:36:02.9120000,XBOX,
44,DimitrisAmaxo22,Hyundai i20 N Rally1 HYBRID (2023),01:30:07.7460000,00:38:18.1090000,STEAM,
45,ArisPrince77,Ford Puma Rally1 HYBRID (2023),01:31:09.0850000,00:39:19.4480000,PSN,
46,Misentos,Ford Puma Rally1 HYBRID (2023),01:35:34.1270000,00:43:44.4900000,EA,
47,Fip87,Hyundai i20 N Rally1 HYBRID (2023),01:52:19.4250000,01:00:29.7880000,PSN,
48,panagiwtakhss,Hyundai i20 N Rally1 HYBRID (2023),02:17:44.4050000,01:25:54.7680000,STEAM,
49,RallyZap92,Ford Puma Rally1 HYBRID (2023),02:25:53.7580000,01:34:04.1210000,EA,
50,vstamou904,Hyundai i20 N Rally1 HYBRID (2023),02:37:50.2630000,01:46:00.6260000,PSN,
